country_code	income_fy23	populationquartile_2021	country_war	age0to14_percent	age15to65over_percent	age65over_percent	people_per_sqkm	populationgrowth_percent	urbanpopulation_percentoftotal	urbanpopulationgrowth_percent	ruralpopulation_percentoftotal	ruralpopulationgrowth_percent	schoolenrollment_secondary_female_percent	schoolenrollment_secondary_male_percent	gdp_percapita_lcu	gdpgrowth_percent	deathrate_per1000	mortality_rta_per100000	physicians_per1000	surgicalprocedures_per100000	risk_impoverishing_surgicalcare_percent	risk_catastrophic_surgicalcare_percent	pushedbelow_60percent_poverty_healthcareexpenditure_percent	healthexpenditure_percentofgdp	healthexpenditure_percapita_usd	outofpocketexpenditure_percentcurrenthealthexpenditure	outofpocketexpenditure_over25percenthouseholdincome_percentofpeople	netofficialaidanddevassistance_2020usd	Density_Diff_2022_2016
TCD	1	3	1	46.2299021	51.2576925	2.51240542	13.4331202	2.93430541	23.781	4.03789868	76.219	2.59245255	12.28557	25.37613	310683.929	-1.1999905	11.715	32.4	0.0542	52.0	60.4	70.7	14.73986	4.3536315	29.8508301	57.2234383	1.575423	722559997.6	-0.26483832077
COG	2	2	0	40.950286	56.2358616	2.81385247	16.5652035	2.48645731	68.283	3.15354951	31.717	1.06521291			687466.26	-3.5	6.546	29.7	0.1064		66.7	79.8	21.54282	2.08331084	48.558773	45.8619919	0.65937674	192479995.7	-0.35556910546
MUS	3	1	0	16.404161	70.5636653	13.0321737	623.674877	0.02527846	40.775	0.06200637	59.225	0.0	87.0561	81.66395	258102.554	4.04021973	8.7	12.2	2.5331	2057.0	1.7	10.5	5.347149	6.19943714	685.945618	45.7204628	1.90461314	22260000.23	-0.319151731
OMN	4	2	0	22.8624022	74.5046833	2.63291454	16.8768207	2.26058073	87.044	3.14680409	12.956	-3.4980998	93.15358	99.30491	6594.02634	-3.200936	2.42	10.6	1.9301	2293.0				4.07190228	624.744446	6.55615425		-21399999.62	-0.5977996818
TGO	1	2	1	40.3036122	56.7597441	2.93664376	155.878691	2.38126965	43.358	3.67659023	56.642	1.40095001	33.45215	48.52573	521637.151	5.26059492	8.199	28.7	0.0776		68.9	75.4	13.77979	5.72606897	51.1550293	66.2097778	2.43388295	420660003.7	0.026346319139999998
GAB	3	2	0	37.3581561	59.1087512	3.53309271	8.84398261	2.35776614	90.423	2.72451059	9.577	-1.0401946			2513042.56	1.5053594	6.603	23.9	0.6819		6.9	11.8	16.98041	2.76836205	215.01915	23.0880222	0.71676666	121510002.1	-0.3907227173
NAM	3	2	0	36.6849557	59.697976	3.61706831	3.14268848	1.8107221	53.005	3.66154307	46.995	-0.2364952	57.81182	46.12255	52798.4843	2.43063986	7.732	34.8	0.5914		21.6	12.7	22.47917	8.49700546	427.256226	8.23502064	0.31883052	151619995.1	-0.07722632109999994
BEN	2	3	1	41.7240969	54.9759297	3.29997334	110.420637	2.66826235	48.972	3.81217159	51.028	1.58261273	39.81058	53.18202	745361.051	6.60000101	8.567	26.8	0.0647		46.0	50.2	17.9573	2.38842916	29.1252918	47.0435677	0.97716814	612289978.0	0.04779714356999999
MLI	1	3	1	46.7317599	50.7972795	2.47096063	17.0921938	2.94324651	44.677	4.6771969	55.323	1.56458384	26.81248	32.95999	264601.674	3.06987005	9.163	22.7	0.1286	3321.0	53.1	43.5	16.40721	3.89389849	34.2817764	31.3529644	0.08951681	1902790039.0	0.037369560569999995
BRB	4	1	0	16.5506359	66.2616306	17.1877335	669.088372	0.1172013	31.246	0.29298582	68.754	0.03741645	96.81848	90.61275	27766.0931	1.4	9.131	8.2	2.4878				9.930802	6.29990387	1143.32202	46.7262306	3.81942177	14949999.81	0.6951492485
PNG	2	2	0	34.8472477	61.4944385	3.65831379	20.1364771	1.90393989	13.456	2.73222576	86.544	1.77577076	29.18538	35.38656	7058.39471	1.5	7.295	12.6	0.0661	1264.0	16.5	3.8		2.30036092	65.080719	9.91931438		688380004.9	-0.34225691112
HTI	2	3	0	32.1075822	62.6116377	5.28078006	418.783853	1.21295673	57.964	2.73577445	42.036	-0.8495526			53225.2532	-1.7982399	8.379	18.8	0.2343		73.8	72.8	9.723681	4.72808981	56.9944	43.2952995	3.98440552	732849975.6	-0.26802852033
BRN	4	1	0	21.920495	72.1150449	5.96446011	83.7821632	0.92126497	78.554	1.30912776	21.446	-0.4867164	84.048	81.32889	43043.0899	-1.6055451	4.656	7.5	1.609					2.16031361	671.562683	5.68010855			-0.0654881770000002
LAO	2	2	0	31.6186449	64.0087796	4.3725755	31.9729549	1.41664067	36.939	3.18921732	63.061	0.39273348	59.35568	60.65005	18215397.4	2.528351	6.317	17.9	0.3726		29.0	45.8	4.490054	2.59852362	68.2213135	41.8322868		644309997.6	-0.0041937988500000065
ARM	3	2	0	20.7929782	66.9247643	12.2822575	104.254584	0.16502116	63.431	0.35122714	36.569	-0.1571435	88.05112	87.45784	1894589.16	5.7	9.801	20.0	4.4023	4198.0	3.5	25.3	7.208881	11.3352642	523.999084	84.7942963	7.09430599	427980011.0	0.349697909
SOM	1	3	1	45.9843526	51.0979306	2.91771682	26.0775656	2.89162281	46.731	4.162209	53.269	1.79012288			9756619.48	3.33443081	10.501	27.4	0.023				2.308623				0.0	1900380005.0	0.010869647869999999
EST	4	1	0	16.4864528	62.7561435	20.7574037	30.5786519	-0.0169254	69.415	0.25142614	30.585	-0.6233116	95.49697	93.28745	19306.8022	8.34945362	11.9	4.5	3.4629	9684.0	2.6	75.1	6.368515	6.7304492	1598.81885	24.0453682	1.18823802		-0.23915901500000003
PAN	4	2	0	26.2396958	64.9935103	8.76679389	59.0692937	1.53665175	68.775	2.06295676	31.225	0.38710973	65.94409	61.71676	9297.17853	15.3358191	5.143	13.9	1.6324		9.7	16.2	17.66188	7.58405781	1192.8208	27.5701408	0.65158492	73639999.39	0.0534447938
CMR	2	3	1	41.7792987	55.4931455	2.72755573	57.5918893	2.5234607	58.148	3.53982387	41.852	1.12828389	43.0281	48.92577	852554.348	3.48659924	8.879	30.2	0.0881		39.3	57.3	26.47445	3.59539533	53.9958496	72.5307007	1.78449023	1368760010.0	0.06109171789
LBN	2	2	0	24.4653314	67.6438209	7.89084768	661.69609	-0.8281428	89.093	-0.6393879	10.907	-2.356776			5874828.25	-10.519389	4.566	16.4	2.1038		0.1	0.9		8.64661503	663.051086	33.5359383	6.30000019	1558619995.0	1.7118330987
MNE	3	1	0	17.9749161	65.8595692	16.1655147	46.1095167	-0.1825243	67.826	0.31716351	32.174	-1.2278099	89.75502	88.45482	6189.46004	12.434359	11.7	7.6	2.7557				8.144381	8.32983208	735.158875	38.5562897	0.7778613	100529998.8	0.325462162
TZA	2	4	0	43.2910303	54.0377229	2.67124675	69.4270016	2.91068378	35.954	4.95343395	64.046	1.78195677	27.31307	25.79293	2140530.0	4.27908454	6.122	31.1	0.0603		73.6	50.0	10.0011	3.82769322	40.3433037	22.1512833	0.81676877	2187989990.0	0.01383176207
KGZ	2	2	0	32.5566098	62.5062233	4.93716692	34.9019812	1.72219322	37.146	2.50597634	62.854	1.26185786	84.12084	84.64377	47015.9557	3.6106127	6.1	12.7	2.213	3045.0	33.4	46.2	3.112686	4.49454117	62.1447754	46.181427	0.72351229	452709991.5	0.24381141209999996
CYP	4	1	0	16.4538197	68.8038836	14.7422967	131.557143	0.67909243	66.856	0.7314794	33.144	0.57350397	95.3969	95.27911	24925.5293	5.51268536	7.182	5.8	1.9509	3057.0	0.1	8.1	14.00625	7.00903225	1996.45825	30.5682697	1.59415042		2.1620972360000006
MLT	4	1	0	14.4212528	63.7663059	21.8124413	1615.21563	0.29781043	94.81	0.36737652	5.19	-0.9645423	94.47046	91.52666	25000.2056	9.41353837	7.9	4.1	2.8598	13232.0	0.0	3.5	14.15099	8.21444321	2531.91089	34.6480827	2.74729896		0.5804178622
BHR	4	1	0	18.0640464	79.0428509	2.89310277	2241.40385	2.7082033	89.622	2.83771528	10.378	1.59669172	93.78209	86.97008	7221.25408	2.22535124	2.439	5.2	0.9257	3899.0				4.01147509	940.395691	29.7322998	1.39999998		0.0580093599
TTO	4	1	0	19.8215017	68.259731	11.9187673	273.562183	0.27707381	53.265	0.37286471	46.735	0.16801046			101037.089	-0.9853077	8.637	9.3	4.476				2.307308	7.02007389	1167.93311	46.9128189	1.92928541	4400000.095	0.26702291489999996
MNG	2	2	0	31.1956997	64.3267076	4.47759266	2.13791704	1.54341101	68.785	1.72968514	31.215	1.13415997			8120114.8	1.4210091	6.354	21.0	3.8518	5339.0	35.6	25.1	13.90233	3.76607823	163.441864	34.767334	1.33400679	320179992.7	-0.40859701949999994
NZL	4	2	0	19.2872013	63.9772557	16.735543	19.4546352	0.63450001	86.789	0.73825782	13.211	-0.0444676	97.71525	96.04486	58476.0119	4.64680675	6.41	9.6	3.4205	5308.0				9.74117661	4211.04639	12.2447338			0.008155353699999979
LKA	2	3	0	23.4327644	64.9338033	11.6334323	358.140437	1.07544996	18.86	1.85795176	81.14	0.89444065	92.25549	89.82158	445991.902	3.65563226	6.851	19.7	1.1539	4943.0	14.8	27.4	7.27229	4.07979679	160.69696	45.6366005	0.89853585	203080001.8	-0.21063172659999999
AZE	3	3	0	23.4123832	69.4653079	7.12230893	122.743146	0.51477674	56.776	1.18456576	43.224	-0.3582493	88.15416	88.86419	3028.08704	5.60003727	7.5	6.7	3.446	1842.0	6.3	28.1		4.03829002	193.108841	67.9625168		125769996.6	0.2390142792
